NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
AG-GSTK13,2__GSTAT013,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK15,2__GSTAT015,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK16,2__GSTAT016,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-GSTK17,2__GSTAT017,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GUKP01,2__GUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GZP04K,,Secondary BMU,OTHER,GAS,BMU,Bi-Directional,,,,
AG-HEDF01,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HEDF02,2__HLOND002,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HEL0AG,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HEL0CP,V__PHABI004,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,57.2213950549635,-2.3661137990985712,7234.0
AG-HEL0DN,V__NHABI005,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
AG-HEL0EP,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
AG-HFLX01,2__HFLEX001,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,YES,,,
AG-HLIM01,2__HANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,50.83208906546754,-1.1896012513098102,9708.0
AG-HLIM02,2__HANGE002,Primary BMU,OTHER,OTHER,BMU,Generation,,50.83208906546754,-1.1896012513098102,9708.0
AG-HLIM03,2__HANGE003,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HLIM04,2__HANGE004,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HLIM05,2__HANGE005,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-HSTK01,2__HSTAT001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HSTK02,2__HSTAT002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HSTK03,2__HSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-HSTK04,2__HSTAT004,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-HSTK05,2__HSTAT005,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-HSTK06,2__HSTAT006,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-HSTK07,2__HSTAT007,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-JEDF02,2__JLOND002,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-JEDF03,2__JLOND003,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-JEDF04,2__JLOND004,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-JLIM01,2__JANGE001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-JSTK01,2__JSTAT001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-JSTK02,2__JSTAT002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,51.23043558491975,-0.3548107072776814,6909.0
AG-JSTK03,2__JSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-JUKP01,2__JUKPR001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
